dataset,method,ef,n,campaign_ids,binary_sha256s,threads,query_contexts,top_k,metric,expected_queries,recall_mean,recall_median,recall_ci95,qps_mean,qps_median,qps_ci95,run_ids,p50_us_n,p50_us_mean,p50_us_median,p50_us_ci95,p95_us_n,p95_us_mean,p95_us_median,p95_us_ci95,p99_us_n,p99_us_mean,p99_us_median,p99_us_ci95,mean_latency_us_n,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_ci95,posts_per_query_n,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,bytes_per_query_n,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,network_us_n,network_us_mean,network_us_median,network_us_ci95,compute_us_n,compute_us_mean,compute_us_median,compute_us_ci95,meta_us_n,meta_us_mean,meta_us_median,meta_us_ci95,deserialize_us_n,deserialize_us_mean,deserialize_us_median,deserialize_us_ci95
SIFT10M,d-HNSW,128.0,5,vldb-dhnsw-text-sift-node7-final-v3-20260713,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,,10,l2,10000,0.903012,0.90299,0.00010100978677335006,467.525,466.783,9.99925773714222,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,18866.72,18964.2,621.6560379907378,0,,,,0,,,,5,1574.066,1552.56,74.26265243025746,5,1252.574,1237.27,99.69429734451177,5,39.9924,38.517,3.7552478491927217,5,6518.156,6430.18,299.6980161175166
SIFT10M,d-HNSW,200.0,5,vldb-dhnsw-text-sift-node7-final-v3-20260713,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,,10,l2,10000,0.904626,0.90463,1.4154878169735637e-05,468.3932,465.262,9.633697046449111,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,18864.22,18877.3,662.5134241005096,0,,,,0,,,,5,1638.576,1651.33,63.333195928522144,5,1635.706,1644.69,81.21467640059909,5,41.8828,41.707,2.0043747324363888,5,6251.51,6378.49,268.8187408782273
TTI10M,SHINE,100.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,ip,10000,0.79974,0.79974,0.0,1685.2,1684.0,2.6914318568375455,r1;r2;r3;r4;r5,5,11673.6748,11673.565,27.521284152173838,5,16583.7038,16581.703,43.11700677218798,5,20694.3488,20690.882,81.10038493711637,0,,,,5,1843.7564,1843.7564,0.0,5,1435282.65,1435282.65,0.0,0,,,,0,,,,0,,,,0,,,
TTI10M,SHINE,150.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,ip,10000,0.84374,0.84374,0.0,1236.4,1237.0,3.7859592390832737,r1;r2;r3;r4;r5,5,16040.9856,16042.525,39.921994457843624,5,22307.1486,22305.295000000002,73.60366185015587,5,27825.0292,27823.995,52.175373008149094,0,,,,5,2504.6338,2504.6338,0.0,5,1946377.526,1946377.526,0.0,0,,,,0,,,,0,,,,0,,,
TTI10M,SHINE,200.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,ip,10000,0.87107,0.87107,0.0,991.2,991.0,4.336250620063374,r1;r2;r3;r4;r5,5,20029.9286,20037.818,84.83420666605996,5,27900.5282,27901.911,136.60913823272003,5,34095.654800000004,34113.58,169.7767338009031,0,,,,5,3136.8976,3136.8976,0.0,5,2434050.9796,2434050.9796,0.0,0,,,,0,,,,0,,,,0,,,
TTI10M,SHINE,300.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,ip,10000,0.9049,0.9049,0.0,712.8,713.0,1.038684090568446,r1;r2;r3;r4;r5,5,27954.3446,27970.746,70.20337682590338,5,38965.239,38955.732,101.80267723877456,5,46724.8822,46649.37,290.31180444537574,0,,,,5,4343.1042,4343.1042,0.0,5,3361776.2588,3361776.2588,0.0,0,,,,0,,,,0,,,,0,,,
TTI10M,SHINE,500.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,ip,10000,0.93526,0.93526,0.0,468.0,468.0,0.877848278462742,r1;r2;r3;r4;r5,5,42652.8844,42636.339,138.6237028397141,5,59996.807400000005,59956.897000000004,132.01903885874148,5,68901.9944,68954.817,233.76909523499182,0,,,,5,6588.4751,6588.4751,0.0,5,5081895.302,5081895.302,0.0,0,,,,0,,,,0,,,,0,,,
TTI10M,SHINE,800.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,ip,10000,0.9548,0.9548,0.0,314.2,314.0,0.5551999999999999,r1;r2;r3;r4;r5,5,63375.1276,63377.134,95.42178697564634,5,90083.61820000001,90000.221,194.42236485085837,5,99932.0938,99969.209,276.9033515683981,0,,,,5,9726.7568,9726.7568,0.0,5,7475442.7216,7475442.7216,0.0,0,,,,0,,,,0,,,,0,,,
TTI10M,SlabWalk,100.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,ip,10000,0.72041,0.72041,0.0,14195.4,14199.0,51.52154292099567,r1;r2;r3;r4;r5,5,1322.2928,1320.981,6.2151969576934345,5,1833.497,1835.3590000000002,6.617275290240684,5,2399.3842,2399.236,17.648297539004112,0,,,,5,111.6711,111.6711,0.0,5,508036.3456,508036.3456,0.0,0,,,,0,,,,0,,,,0,,,
TTI10M,SlabWalk,150.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,ip,10000,0.76473,0.76473,0.0,9751.4,9915.0,460.8850603672893,r1;r2;r3;r4;r5,5,1918.6936,1918.6770000000001,3.8399480548331772,5,2545.7526,2547.964,6.881680741582265,5,3341.0254,3336.658,22.80861004042167,0,,,,5,162.7328,162.7328,0.0,5,741189.1688,741189.1688,0.0,0,,,,0,,,,0,,,,0,,,
