dataset,method,ef,n,campaign_ids,binary_sha256s,threads,query_contexts,top_k,metric,expected_queries,recall_mean,recall_median,recall_ci95,qps_mean,qps_median,qps_ci95,run_ids,p50_us_n,p50_us_mean,p50_us_median,p50_us_ci95,p95_us_n,p95_us_mean,p95_us_median,p95_us_ci95,p99_us_n,p99_us_mean,p99_us_median,p99_us_ci95,mean_latency_us_n,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_ci95,posts_per_query_n,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,bytes_per_query_n,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,network_us_n,network_us_mean,network_us_median,network_us_ci95,compute_us_n,compute_us_mean,compute_us_median,compute_us_ci95,meta_us_n,meta_us_mean,meta_us_median,meta_us_ci95,deserialize_us_n,deserialize_us_mean,deserialize_us_median,deserialize_us_ci95
DEEP1M,d-HNSW,64.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.90477,0.90476,7.448789646649006e-05,4728.1274,4844.749,278.1280663415331,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,1948.742,1918.79,79.78081595917699,0,,,,0,,,,5,364.9458,369.355,22.963833598675933,5,740.1982,719.042,56.18503058500337,5,35.9484,35.974,2.2442415035012937,5,1683.048,1696.77,163.51701217636216
DEEP1M,d-HNSW,96.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.907392,0.90737,5.849394963583694e-05,4666.2883999999995,4729.235,253.32627867349453,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,2004.636,2015.88,88.59397291488008,0,,,,0,,,,5,341.3934,340.673,21.2125821095612,5,819.0151999999999,798.887,64.49901233499435,5,39.8642,36.379,11.628678492977361,5,1695.068,1641.06,101.84031776372296
DEEP1M,d-HNSW,128.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.9082939999999999,0.90831,2.8580669271372576e-05,4757.5738,4794.345,221.05055543970164,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,1926.262,1899.24,101.64116031006364,0,,,,0,,,,5,312.6516,301.421,29.098884525660385,5,987.1482,977.563,120.83926665058318,5,36.934999999999995,37.815,2.823019620696108,5,1688.98,1687.77,87.97594464326711
DEEP1M,d-HNSW,200.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.908888,0.90889,1.6186722460127883e-05,4427.956,4361.554,171.87029681669802,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,2055.74,2057.65,61.98669074126151,0,,,,0,,,,5,316.92719999999997,313.557,20.918482627317374,5,1260.532,1249.1,175.9932243477473,5,37.614,38.1,2.811758450581415,5,1657.032,1722.82,133.3751444504268
GIST1M,SHINE,100.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.7826,0.7826,0.0,1190.2,1190.0,1.3599567051932202,r1;r2;r3;r4;r5,5,17191.022,17185.074,21.340313334624735,5,21021.351,21042.854,49.36360049891114,5,22344.1552,22344.795000000002,93.47421723662067,0,,,,5,2023.493,2023.493,0.0,5,7399717.064,7399717.064,0.0,0,,,,0,,,,0,,,,0,,,
GIST1M,SHINE,200.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.872,0.872,0.0,675.2,675.0,1.3599567051932202,r1;r2;r3;r4;r5,5,30535.7838,30529.009000000002,48.65148225957102,5,36841.613,36839.672,71.90438808639365,5,38626.8714,38652.073000000004,74.90078907895075,0,,,,5,3557.636,3557.636,0.0,5,12960817.66,12960817.66,0.0,0,,,,0,,,,0,,,,0,,,
GIST1M,SHINE,300.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.9071,0.9071,0.0,482.8,483.0,0.5551999999999999,r1;r2;r3;r4;r5,5,42783.953,42771.601,60.77675089417923,5,51695.146,51662.453,91.67248980747446,5,53915.010200000004,53893.871,88.96814736643205,0,,,,5,4977.841,4977.841,0.0,5,18079265.008,18079265.008,0.0,0,,,,0,,,,0,,,,0,,,
GIST1M,SHINE,400.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.9282,0.9282,0.0,379.6,380.0,0.6799783525966101,r1;r2;r3;r4;r5,5,54407.0904,54418.586,64.27126698105467,5,65877.4468,65867.52,68.1422532252448,5,68608.44,68650.62,131.7507742754679,0,,,,5,6313.829,6313.829,0.0,5,22872399.84,22872399.84,0.0,0,,,,0,,,,0,,,,0,,,
GIST1M,SHINE,600.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.9484,0.9484,0.0,271.6,272.0,0.6799783525966101,r1;r2;r3;r4;r5,5,76139.9232,76135.428,137.03778948381978,5,92216.8354,92212.333,192.61097310669462,5,96190.8612,96173.829,270.8383315867208,0,,,,5,8797.413,8797.413,0.0,5,31731758.876,31731758.876,0.0,0,,,,0,,,,0,,,,0,,,
GIST1M,SlabWalk,100.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.7779,0.7779,0.0,8174.0,8163.0,37.79847920750251,r1;r2;r3;r4;r5,5,2422.356,2423.286,14.536192151162957,5,2631.8442,2636.704,12.365067607026452,5,3001.5804000000003,3002.755,24.120922119654775,0,,,,5,104.15,104.15,0.0,5,1064970.848,1064970.848,0.0,0,,,,0,,,,0,,,,0,,,
